,experiment,hour,device_make,yes,day,platform_os_5.0,platform_os_6.0
4604,1,4,59,0,6,0,1
4608,0,7,13,1,0,0,1
4609,1,6,13,1,5,0,1
4623,1,1,13,0,4,0,1
4637,1,18,13,0,1,0,1
4643,1,2,1,0,2,0,1
4648,1,1,58,0,0,0,1
4655,0,18,13,0,5,0,1
4658,1,4,13,1,5,0,1
4661,0,13,13,0,6,0,1
4673,0,18,13,1,4,0,1
4685,0,18,13,0,2,0,1
4701,1,0,13,1,0,0,1
4706,0,6,114,0,0,1,0
4710,1,4,13,0,0,0,1
4719,1,21,47,0,6,0,1
4726,0,6,13,1,4,0,1
4727,0,7,68,1,0,0,1
4729,0,4,66,1,4,0,1
4732,0,21,74,1,3,0,1
4735,0,21,13,0,0,0,1
4749,0,4,114,0,2,1,0
4765,1,14,13,0,5,0,1
4767,1,9,50,0,5,0,1
4774,0,7,75,0,0,0,1
4775,1,11,13,0,6,0,1
4783,1,14,42,1,5,0,1
4794,0,7,23,0,0,0,1
4800,1,20,13,0,2,0,1
4802,1,3,66,1,2,0,1
4809,1,3,13,0,2,0,1
4811,0,15,21,1,2,0,1
4814,0,1,83,1,4,0,1
4820,1,8,69,0,4,0,1
4830,1,6,88,1,2,0,1
4834,1,10,26,1,6,0,1
4841,1,13,13,1,5,0,1
4843,0,12,13,0,3,0,1
4845,0,7,13,0,0,0,1
4847,1,18,13,0,3,0,1
4848,1,11,13,1,2,0,1
4858,0,9,13,1,2,0,1
4863,0,22,64,1,0,0,1
4865,1,21,13,0,0,0,1
4867,0,7,68,0,0,0,1
4871,0,1,114,0,1,1,0
4878,0,7,13,1,0,0,1
4881,1,12,13,0,0,0,1
4893,0,7,13,1,0,0,1
4897,0,1,13,0,4,0,1
4898,0,1,20,1,4,0,1
4901,1,19,13,0,5,0,1
4912,1,9,61,1,6,0,1
4931,1,17,13,0,4,0,1
4947,1,6,46,0,5,0,1
4954,1,10,13,1,6,0,1
4955,0,7,68,0,0,0,1
4958,1,13,13,1,6,0,1
4975,0,18,13,1,1,0,1
4977,1,13,13,0,6,0,1
4985,0,14,13,1,3,0,1
4988,1,7,13,0,2,0,1
4991,0,17,102,0,0,0,1
5006,0,2,13,0,1,0,1
5010,0,7,13,1,0,0,1
5014,1,6,69,1,2,0,1
5018,0,20,13,1,5,0,1
5037,1,11,68,1,6,0,1
5041,0,7,13,1,0,0,1
5048,1,15,13,0,6,0,1
5051,1,20,48,0,5,0,1
5057,1,13,2,0,4,0,1
5063,1,3,13,1,2,0,1
5069,1,16,13,1,4,0,1
5074,0,21,13,0,1,0,1
5078,1,6,13,1,3,0,1
5099,0,3,52,1,2,0,1
5104,0,9,13,0,2,0,1
5109,0,7,68,0,0,0,1
5118,1,20,13,1,1,0,1
5127,0,10,13,0,6,0,1
5134,1,10,66,1,6,0,1
5138,0,7,13,1,0,0,1
5139,0,7,21,0,0,0,1
5140,1,19,109,1,0,0,1
5143,1,10,66,1,6,0,1
5148,0,23,13,1,0,0,1
5150,1,21,68,1,4,0,1
5152,1,11,13,1,6,0,1
5158,0,21,27,1,1,0,1
5159,0,4,13,0,3,0,1
5164,1,1,68,0,5,0,1
5170,1,17,13,1,0,0,1
5173,1,11,65,0,2,0,1
5176,0,7,13,1,0,0,1
5182,1,11,13,1,5,0,1
5192,1,21,38,0,3,0,1
5193,1,19,13,1,2,0,1
5202,0,3,87,0,4,0,1
5221,0,7,41,1,0,0,1
5245,1,3,13,0,5,0,1
5247,1,18,19,0,0,0,1
5248,0,19,68,1,4,0,1
5253,0,7,13,0,0,0,1
5256,0,22,13,1,2,0,1
5258,1,5,10,1,2,0,1
5268,0,7,68,1,0,0,1
5270,0,7,47,0,0,0,1
5272,0,7,13,1,0,0,1
5274,1,18,13,1,6,0,1
5278,0,23,114,1,4,1,0
5298,0,7,64,0,0,0,1
5314,1,3,13,1,0,0,1
5320,1,10,13,0,4,0,1
5322,0,3,13,0,0,0,1
5324,1,18,13,1,0,0,1
5333,1,4,13,0,0,0,1
5334,1,9,69,1,4,0,1
5340,0,19,36,1,0,0,1
5351,1,21,13,0,3,0,1
5354,0,7,13,0,0,0,1
5355,0,21,66,0,0,0,1
5360,1,15,53,1,4,0,1
5362,0,14,13,0,5,0,1
5363,0,19,13,1,3,0,1
5365,1,6,13,1,3,0,1
5373,1,0,73,1,0,0,1
5384,0,7,114,0,0,1,0
5393,1,8,13,1,6,0,1
5403,1,14,66,1,6,0,1
5404,1,6,65,0,0,0,1
5407,1,7,13,1,6,0,1
5409,1,20,13,0,4,0,1
5410,0,9,13,0,6,0,1
5413,1,4,44,0,2,0,1
5418,0,23,42,1,4,0,1
5421,0,11,42,1,6,0,1
5441,1,4,13,0,4,0,1
5456,0,7,13,1,0,0,1
5472,1,23,13,0,5,0,1
5478,1,9,13,0,6,0,1
